# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:21 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Armenian; Cherokee: [հ]

0570          ; Armn; Cher; L #      (հ)  ARMENIAN SMALL LETTER HO
01A1          ; Latn; Thai; L #      (ơ)  LATIN SMALL LETTER O WITH HORN
01FF          ; Latn; Thai; L #      (ǿ)  LATIN SMALL LETTER O WITH STROKE AND ACUTE
0275          ; Latn; Thai; L #      (ɵ)  LATIN SMALL LETTER BARRED O

# Total code points: 5

# Latin; Canadian_Aboriginal: [bdlmpwxđłƃƌƚƥɓɖɗɯ]

0062          ; Latn; Cans; L #      (b)  LATIN SMALL LETTER B
0064          ; Latn; Cans; L #      (d)  LATIN SMALL LETTER D
006C..006D    ; Latn; Cans; L #  [2] (l..m)  LATIN SMALL LETTER L..LATIN SMALL LETTER M
0070          ; Latn; Cans; L #      (p)  LATIN SMALL LETTER P
0077..0078    ; Latn; Cans; L #  [2] (w..x)  LATIN SMALL LETTER W..LATIN SMALL LETTER X
0111          ; Latn; Cans; L #      (đ)  LATIN SMALL LETTER D WITH STROKE
0142          ; Latn; Cans; L #      (ł)  LATIN SMALL LETTER L WITH STROKE
0183          ; Latn; Cans; L #      (ƃ)  LATIN SMALL LETTER B WITH TOPBAR
018C          ; Latn; Cans; L #      (ƌ)  LATIN SMALL LETTER D WITH TOPBAR
019A          ; Latn; Cans; L #      (ƚ)  LATIN SMALL LETTER L WITH BAR
01A5          ; Latn; Cans; L #      (ƥ)  LATIN SMALL LETTER P WITH HOOK
0253          ; Latn; Cans; L #      (ɓ)  LATIN SMALL LETTER B WITH HOOK
0256..0257    ; Latn; Cans; L #  [2] (ɖ..ɗ)  LATIN SMALL LETTER D WITH TAIL..LATIN SMALL LETTER D WITH HOOK
026F          ; Latn; Cans; L #      (ɯ)  LATIN SMALL LETTER TURNED M

# Total code points: 17

# Malayalam; Armenian: [ം]

0D02          ; Mlym; Armn; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Bengali: [ഠ]

0D20          ; Mlym; Beng; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Cherokee: [ഠ]

0D20          ; Mlym; Cher; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Cyrillic: [ം]

0D02          ; Mlym; Cyrl; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Devanagari: [ം]

0D02          ; Mlym; Deva; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Greek: [ം]

0D02          ; Mlym; Grek; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Gujarati: [ം]

0D02          ; Mlym; Gujr; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Gurmukhi: [ം]

0D02          ; Mlym; Guru; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Han: [ഠ]

0D20          ; Mlym; Hani; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Kannada: [ം]

0D02          ; Mlym; Knda; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Lao: [ം]

0D02          ; Mlym; Laoo; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Latin: [ം]

0D02          ; Mlym; Latn; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Mongolian: [ഠ]

0D20          ; Mlym; Mong; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Myanmar: [ം]

0D02          ; Mlym; Mymr; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Oriya: [ഠ]

0D20          ; Mlym; Orya; L #      (ഠ)  MALAYALAM LETTER TTHA

# Total code points: 1

# Malayalam; Sinhala: [ന്]

0D28          ; Mlym; Sinh; L #      (ന)  MALAYALAM LETTER NA
0D4D          ; Mlym; Sinh; L #      (്)  MALAYALAM SIGN VIRAMA

# Total code points: 2

# Malayalam; Tamil: [ഉജണഴി-ൃ]

0D09          ; Mlym; Taml; L #      (ഉ)  MALAYALAM LETTER U
0D1C          ; Mlym; Taml; L #      (ജ)  MALAYALAM LETTER JA
0D23          ; Mlym; Taml; L #      (ണ)  MALAYALAM LETTER NNA
0D34          ; Mlym; Taml; L #      (ഴ)  MALAYALAM LETTER LLLA
0D3F..0D43    ; Mlym; Taml; L #  [5] (ി..ൃ)  MALAYALAM VOWEL SIGN I..MALAYALAM VOWEL SIGN VOCALIC R

# Total code points: 9

# Malayalam; Telugu: [ം]

0D02          ; Mlym; Telu; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Malayalam; Thai: [ം]

0D02          ; Mlym; Thai; L #      (ം)  MALAYALAM SIGN ANUSVARA

# Total code points: 1

# Mongolian; Bengali: [᠐]

1810          ; Mong; Beng; L #      (᠐)  MONGOLIAN DIGIT ZERO

# Total code points: 1

# Mongolian; Cherokee: [᠐]

1810          ; Mong; Cher; L #      (᠐)  MONGOLIAN DIGIT ZERO

# Total code points: 1

# Mongolian; Han: [᠐]

1810          ; Mong; Hani; L #      (᠐)  MONGOLIAN DIGIT ZERO

# Total code points: 1

# Mongolian; Malayalam: [᠐]

1810          ; Mong; Mlym; L #      (᠐)  MONGOLIAN DIGIT ZERO

# Total code points: 1

# Mongolian; Oriya: [᠐]

1810          ; Mong; Orya; L #      (᠐)  MONGOLIAN DIGIT ZERO

# Total code points: 1

# Myanmar; Armenian: [ဝ၀]

101D          ; Mymr; Armn; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Armn; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Cyrillic: [ဝ၀]

101D          ; Mymr; Cyrl; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Cyrl; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Devanagari: [ဝ၀]

101D          ; Mymr; Deva; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Deva; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Greek: [ဝ၀]

101D          ; Mymr; Grek; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Grek; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Gujarati: [ဝ၀]

101D          ; Mymr; Gujr; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Gujr; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Gurmukhi: [ဝ၀]

101D          ; Mymr; Guru; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Guru; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Hebrew: [ံ]

1036          ; Mymr; Hebr; L #      (ံ)  MYANMAR SIGN ANUSVARA

# Total code points: 1

# Myanmar; Kannada: [ဝ၀]

101D          ; Mymr; Knda; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Knda; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Khmer: [ံ]

1036          ; Mymr; Khmr; L #      (ံ)  MYANMAR SIGN ANUSVARA

# Total code points: 1

# Myanmar; Lao: [ဝံ၀]

101D          ; Mymr; Laoo; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Laoo; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Laoo; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Myanmar; Latin: [ဝ၀]

101D          ; Mymr; Latn; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Latn; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Malayalam: [ဝ၀]

101D          ; Mymr; Mlym; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Mlym; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Tamil: [ံ]

1036          ; Mymr; Taml; L #      (ံ)  MYANMAR SIGN ANUSVARA

# Total code points: 1

# Myanmar; Telugu: [ဝ၀]

101D          ; Mymr; Telu; L #      (ဝ)  MYANMAR LETTER WA
1040          ; Mymr; Telu; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 2

# Myanmar; Thai: [ဝံ၀]

101D          ; Mymr; Thai; L #      (ဝ)  MYANMAR LETTER WA
1036          ; Mymr; Thai; L #      (ံ)  MYANMAR SIGN ANUSVARA
1040          ; Mymr; Thai; L #      (၀)  MYANMAR DIGIT ZERO

# Total code points: 3

# Oriya; Bengali: [ଃ଼୦୨]

0B03          ; Orya; Beng; L #      (ଃ)  ORIYA SIGN VISARGA
0B3C          ; Orya; Beng; L #      (଼)  ORIYA SIGN NUKTA
0B66          ; Orya; Beng; L #      (୦)  ORIYA DIGIT ZERO
0B68          ; Orya; Beng; L #      (୨)  ORIYA DIGIT TWO

# Total code points: 4

# Oriya; Cherokee: [୦]

0B66          ; Orya; Cher; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 1

# Oriya; Devanagari: [଼]

0B3C          ; Orya; Deva; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 1

# Oriya; Gujarati: [଼]

0B3C          ; Orya; Gujr; L #      (଼)  ORIYA SIGN NUKTA

# Total code points: 1

# Oriya; Gurmukhi: [ଃ଼୨]

0B03          ; Orya; Guru; L #      (ଃ)  ORIYA SIGN VISARGA
0B3C          ; Orya; Guru; L #      (଼)  ORIYA SIGN NUKTA
0B68          ; Orya; Guru; L #      (୨)  ORIYA DIGIT TWO

# Total code points: 3

# Oriya; Han: [୦]

0B66          ; Orya; Hani; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 1

# Oriya; Latin: [ଃ]

0B03          ; Orya; Latn; L #      (ଃ)  ORIYA SIGN VISARGA

# Total code points: 1

# Oriya; Malayalam: [୦]

0B66          ; Orya; Mlym; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 1

# Oriya; Mongolian: [୦]

0B66          ; Orya; Mong; L #      (୦)  ORIYA DIGIT ZERO

# Total code points: 1

# Sinhala; Malayalam: [ඌ]

0D8C          ; Sinh; Mlym; L #      (ඌ)  SINHALA LETTER UUYANNA

# Total code points: 1

# Tamil; Devanagari: [்]

0BCD          ; Taml; Deva; L #      (்)  TAMIL SIGN VIRAMA

# Total code points: 1

# Tamil; Gujarati: [்]

0BCD          ; Taml; Gujr; L #      (்)  TAMIL SIGN VIRAMA

# Total code points: 1

# Tamil; Gurmukhi: [்]

0BCD          ; Taml; Guru; L #      (்)  TAMIL SIGN VIRAMA

# Total code points: 1

# Tamil; Hebrew: [ஂ்]

0B82          ; Taml; Hebr; L #      (ஂ)  TAMIL SIGN ANUSVARA
0BCD          ; Taml; Hebr; L #      (்)  TAMIL SIGN VIRAMA

# Total code points: 2

# Tamil; Khmer: [ஂ]

0B82          ; Taml; Khmr; L #      (ஂ)  TAMIL SIGN ANUSVARA

# Total code points: 1

# Tamil; Lao: [ஂ]

0B82          ; Taml; Laoo; L #      (ஂ)  TAMIL SIGN ANUSVARA

# Total code points: 1

# Tamil; Malayalam: [உஐஜணழிூ௨]

0B89          ; Taml; Mlym; L #      (உ)  TAMIL LETTER U
0B90          ; Taml; Mlym; L #      (ஐ)  TAMIL LETTER AI
0B9C          ; Taml; Mlym; L #      (ஜ)  TAMIL LETTER JA
0BA3          ; Taml; Mlym; L #      (ண)  TAMIL LETTER NNA
0BB4          ; Taml; Mlym; L #      (ழ)  TAMIL LETTER LLLA
0BBF          ; Taml; Mlym; L #      (ி)  TAMIL VOWEL SIGN I
0BC2          ; Taml; Mlym; L #      (ூ)  TAMIL VOWEL SIGN UU
0BE8          ; Taml; Mlym; L #      (௨)  TAMIL DIGIT TWO

# Total code points: 8

# Tamil; Myanmar: [ஂ]

0B82          ; Taml; Mymr; L #      (ஂ)  TAMIL SIGN ANUSVARA

# Total code points: 1

# Tamil; Thai: [ஂ]

0B82          ; Taml; Thai; L #      (ஂ)  TAMIL SIGN ANUSVARA

# Total code points: 1

# Telugu; Armenian: [ం౦]

0C02          ; Telu; Armn; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Armn; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Cyrillic: [ం౦]

0C02          ; Telu; Cyrl; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Cyrl; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Devanagari: [ం౦]

0C02          ; Telu; Deva; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Deva; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Greek: [ం౦]

0C02          ; Telu; Grek; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Grek; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Gujarati: [ం౦]

0C02          ; Telu; Gujr; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Gujr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Gurmukhi: [ం౦]

0C02          ; Telu; Guru; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Guru; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Kannada: [ంఃఅ-ఇఒ-ఔజఞణయఱలౌౕ౦-౨౯]

0C02..0C03    ; Telu; Knda; L #  [2] (ం..ః)  TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C05..0C07    ; Telu; Knda; L #  [3] (అ..ఇ)  TELUGU LETTER A..TELUGU LETTER I
0C12..0C14    ; Telu; Knda; L #  [3] (ఒ..ఔ)  TELUGU LETTER O..TELUGU LETTER AU
0C1C          ; Telu; Knda; L #      (జ)  TELUGU LETTER JA
0C1E          ; Telu; Knda; L #      (ఞ)  TELUGU LETTER NYA
0C23          ; Telu; Knda; L #      (ణ)  TELUGU LETTER NNA
0C2F          ; Telu; Knda; L #      (య)  TELUGU LETTER YA
0C31..0C32    ; Telu; Knda; L #  [2] (ఱ..ల)  TELUGU LETTER RRA..TELUGU LETTER LA
0C4C          ; Telu; Knda; L #      (ౌ)  TELUGU VOWEL SIGN AU
0C55          ; Telu; Knda; L #      (ౕ)  TELUGU LENGTH MARK
0C66..0C68    ; Telu; Knda; L #  [3] (౦..౨)  TELUGU DIGIT ZERO..TELUGU DIGIT TWO
0C6F          ; Telu; Knda; L #      (౯)  TELUGU DIGIT NINE

# Total code points: 20

# Telugu; Lao: [ం౦]

0C02          ; Telu; Laoo; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Laoo; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Latin: [ం౦]

0C02          ; Telu; Latn; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Latn; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Malayalam: [ం౦]

0C02          ; Telu; Mlym; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Mlym; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Myanmar: [ం౦]

0C02          ; Telu; Mymr; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Mymr; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Telugu; Thai: [ం౦]

0C02          ; Telu; Thai; L #      (ం)  TELUGU SIGN ANUSVARA
0C66          ; Telu; Thai; L #      (౦)  TELUGU DIGIT ZERO

# Total code points: 2

# Thai; Armenian: [๐]

0E50          ; Thai; Armn; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Cyrillic: [๐]

0E50          ; Thai; Cyrl; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Devanagari: [๐]

0E50          ; Thai; Deva; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Greek: [๐]

0E50          ; Thai; Grek; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Gujarati: [๐]

0E50          ; Thai; Gujr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Gurmukhi: [๐]

0E50          ; Thai; Guru; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Hebrew: [ํ]

0E4D          ; Thai; Hebr; L #      (ํ)  THAI CHARACTER NIKHAHIT

# Total code points: 1

# Thai; Kannada: [๐]

0E50          ; Thai; Knda; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Khmer: [ิ-ื่ํ]

0E34..0E37    ; Thai; Khmr; L #  [4] (ิ..ื)  THAI CHARACTER SARA I..THAI CHARACTER SARA UEE
0E48          ; Thai; Khmr; L #      (่)  THAI CHARACTER MAI EK
0E4D          ; Thai; Khmr; L #      (ํ)  THAI CHARACTER NIKHAHIT

# Total code points: 6

# Thai; Lao: [จบปฝ-ฟยุู่-๋ํ๐]

0E08          ; Thai; Laoo; L #      (จ)  THAI CHARACTER CHO CHAN
0E1A..0E1B    ; Thai; Laoo; L #  [2] (บ..ป)  THAI CHARACTER BO BAIMAI..THAI CHARACTER PO PLA
0E1D..0E1F    ; Thai; Laoo; L #  [3] (ฝ..ฟ)  THAI CHARACTER FO FA..THAI CHARACTER FO FAN
0E22          ; Thai; Laoo; L #      (ย)  THAI CHARACTER YO YAK
0E38..0E39    ; Thai; Laoo; L #  [2] (ุ..ู)  THAI CHARACTER SARA U..THAI CHARACTER SARA UU
0E48..0E4B    ; Thai; Laoo; L #  [4] (่..๋)  THAI CHARACTER MAI EK..THAI CHARACTER MAI CHATTAWA
0E4D          ; Thai; Laoo; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Laoo; L #      (๐)  THAI DIGIT ZERO

# Total code points: 15

# Thai; Latin: [๐]

0E50          ; Thai; Latn; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Malayalam: [๐]

0E50          ; Thai; Mlym; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Thai; Myanmar: [ํ๐]

0E4D          ; Thai; Mymr; L #      (ํ)  THAI CHARACTER NIKHAHIT
0E50          ; Thai; Mymr; L #      (๐)  THAI DIGIT ZERO

# Total code points: 2

# Thai; Tamil: [ํ]

0E4D          ; Thai; Taml; L #      (ํ)  THAI CHARACTER NIKHAHIT

# Total code points: 1

# Thai; Telugu: [๐]

0E50          ; Thai; Telu; L #      (๐)  THAI DIGIT ZERO

# Total code points: 1

# Canadian_Aboriginal; Armenian: [ᕷ]

1577          ; Cans; Armn; L #      (ᕷ)  CANADIAN SYLLABICS NUNAVIK HO

# Total code points: 1

# Canadian_Aboriginal; Cherokee: [ᐧᐯᑭᑶᑷᒍᒘᒙᒪᒶᒷᔯᔰᕼᖯᗅᗯᗷ]

1427          ; Cans; Cher; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
142F          ; Cans; Cher; L #      (ᐯ)  CANADIAN SYLLABICS PE
146D          ; Cans; Cher; L #      (ᑭ)  CANADIAN SYLLABICS KI
1476..1477    ; Cans; Cher; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
148D          ; Cans; Cher; L #      (ᒍ)  CANADIAN SYLLABICS CO
1498..1499    ; Cans; Cher; L #  [2] (ᒘ..ᒙ)  CANADIAN SYLLABICS CWO..CANADIAN SYLLABICS WEST-CREE CWO
14AA          ; Cans; Cher; L #      (ᒪ)  CANADIAN SYLLABICS MA
14B6..14B7    ; Cans; Cher; L #  [2] (ᒶ..ᒷ)  CANADIAN SYLLABICS MWA..CANADIAN SYLLABICS WEST-CREE MWA
152F..1530    ; Cans; Cher; L #  [2] (ᔯ..ᔰ)  CANADIAN SYLLABICS YWE..CANADIAN SYLLABICS WEST-CREE YWE
157C          ; Cans; Cher; L #      (ᕼ)  CANADIAN SYLLABICS NUNAVUT H
15AF          ; Cans; Cher; L #      (ᖯ)  CANADIAN SYLLABICS AIVILIK B
15C5          ; Cans; Cher; L #      (ᗅ)  CANADIAN SYLLABICS CARRIER GHO
15EF          ; Cans; Cher; L #      (ᗯ)  CANADIAN SYLLABICS CARRIER GU
15F7          ; Cans; Cher; L #      (ᗷ)  CANADIAN SYLLABICS CARRIER KHE

# Total code points: 18

# Canadian_Aboriginal; Cyrillic: [ᐧᑭᑯᑶᑷᑺᑻᒪᒶᒷᔯᔰᕁᕽᖯ]

1427          ; Cans; Cyrl; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
146D          ; Cans; Cyrl; L #      (ᑭ)  CANADIAN SYLLABICS KI
146F          ; Cans; Cyrl; L #      (ᑯ)  CANADIAN SYLLABICS KO
1476..1477    ; Cans; Cyrl; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
147A..147B    ; Cans; Cyrl; L #  [2] (ᑺ..ᑻ)  CANADIAN SYLLABICS KWO..CANADIAN SYLLABICS WEST-CREE KWO
14AA          ; Cans; Cyrl; L #      (ᒪ)  CANADIAN SYLLABICS MA
14B6..14B7    ; Cans; Cyrl; L #  [2] (ᒶ..ᒷ)  CANADIAN SYLLABICS MWA..CANADIAN SYLLABICS WEST-CREE MWA
152F..1530    ; Cans; Cyrl; L #  [2] (ᔯ..ᔰ)  CANADIAN SYLLABICS YWE..CANADIAN SYLLABICS WEST-CREE YWE
1541          ; Cans; Cyrl; L #      (ᕁ)  CANADIAN SYLLABICS SAYISI YI
157D          ; Cans; Cyrl; L #      (ᕽ)  CANADIAN SYLLABICS HK
15AF          ; Cans; Cyrl; L #      (ᖯ)  CANADIAN SYLLABICS AIVILIK B

# Total code points: 15

# Canadian_Aboriginal; Greek: [ᐧᑭᑶᑷᕷ]

1427          ; Cans; Grek; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
146D          ; Cans; Grek; L #      (ᑭ)  CANADIAN SYLLABICS KI
1476..1477    ; Cans; Grek; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
1577          ; Cans; Grek; L #      (ᕷ)  CANADIAN SYLLABICS NUNAVIK HO

# Total code points: 5

# Canadian_Aboriginal; Latin: [ᐧᑭᑯᑶᑷᑺᑻᒪᒶᒷᔯᔰᕁᕽᖯᗯᗰ]

1427          ; Cans; Latn; L #      (ᐧ)  CANADIAN SYLLABICS FINAL MIDDLE DOT
146D          ; Cans; Latn; L #      (ᑭ)  CANADIAN SYLLABICS KI
146F          ; Cans; Latn; L #      (ᑯ)  CANADIAN SYLLABICS KO
1476..1477    ; Cans; Latn; L #  [2] (ᑶ..ᑷ)  CANADIAN SYLLABICS KWI..CANADIAN SYLLABICS WEST-CREE KWI
147A..147B    ; Cans; Latn; L #  [2] (ᑺ..ᑻ)  CANADIAN SYLLABICS KWO..CANADIAN SYLLABICS WEST-CREE KWO
14AA          ; Cans; Latn; L #      (ᒪ)  CANADIAN SYLLABICS MA
14B6..14B7    ; Cans; Latn; L #  [2] (ᒶ..ᒷ)  CANADIAN SYLLABICS MWA..CANADIAN SYLLABICS WEST-CREE MWA
152F..1530    ; Cans; Latn; L #  [2] (ᔯ..ᔰ)  CANADIAN SYLLABICS YWE..CANADIAN SYLLABICS WEST-CREE YWE
1541          ; Cans; Latn; L #      (ᕁ)  CANADIAN SYLLABICS SAYISI YI
157D          ; Cans; Latn; L #      (ᕽ)  CANADIAN SYLLABICS HK
15AF          ; Cans; Latn; L #      (ᖯ)  CANADIAN SYLLABICS AIVILIK B
15EF..15F0    ; Cans; Latn; L #  [2] (ᗯ..ᗰ)  CANADIAN SYLLABICS CARRIER GU..CANADIAN SYLLABICS CARRIER GO

# Total code points: 17


# Any-Case

# Armenian; Bengali: [Օ]

0555          ; Armn; Beng; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Cherokee: [Օհ]

0555          ; Armn; Cher; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0570          ; Armn; Cher; A #      (հ)  ARMENIAN SMALL LETTER HO

# Total code points: 2

# Armenian; Cyrillic: [ՅՕհյօ]

0545          ; Armn; Cyrl; A #      (Յ)  ARMENIAN CAPITAL LETTER YI
0555          ; Armn; Cyrl; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0570          ; Armn; Cyrl; A #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Cyrl; A #      (յ)  ARMENIAN SMALL LETTER YI
0585          ; Armn; Cyrl; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 5

# Armenian; Devanagari: [օ]

0585          ; Armn; Deva; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Greek: [Օծոռսօ]

0555          ; Armn; Grek; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
056E          ; Armn; Grek; A #      (ծ)  ARMENIAN SMALL LETTER CA
0578          ; Armn; Grek; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Grek; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Grek; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 6

# Armenian; Gujarati: [օ]

0585          ; Armn; Gujr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Gurmukhi: [օ]

0585          ; Armn; Guru; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Han: [Օ]

0555          ; Armn; Hani; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Kannada: [օ]

0585          ; Armn; Knda; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Lao: [օ]

0585          ; Armn; Laoo; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Latin: [ԳՕգզհյոռսցքօ]

0533          ; Armn; Latn; A #      (Գ)  ARMENIAN CAPITAL LETTER GIM
0555          ; Armn; Latn; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0563          ; Armn; Latn; A #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Latn; A #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Latn; A #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Latn; A #      (յ)  ARMENIAN SMALL LETTER YI
0578          ; Armn; Latn; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Latn; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
